country_name,country_code,year,value
Hannover96,BRN,65/66,107
HansaRostock,BGR,65/66,0
HerthaBSCBerlin,BFA,65/66,85
KarlsruherSC,BDI,65/66,124
KickersOffenbach,CPV,65/66,0
MeidericherSV,KHM,65/66,176
MSVDuisburg,CMR,65/66,0
Preu§enMuenster,CAN,65/66,34
RBLeipzig,CYM,65/66,0
Rot-Wei§Essen,CAF,65/66,0
Rot-Wei§Oberhausen,TCD,65/66,0
SCFreiburg,CHI,65/66,0
SCPaderborn07,CHL,65/66,31
Schalke04,CHN,65/66,129
SpVggGreutherFuerth,COL,65/66,0
SpVggUnterhaching,COM,65/66,0
SSVUlm,COD,65/66,0
StuttgarterKickers,COG,65/66,0
SVDarmstadt98,CRI,65/66,0
TasmaniaBerlin,CIV,65/66,15
TennisBorussiaBerlin,HRV,65/66,0
VfBLeipzig,CUB,65/66,0
VfBStuttgart,CUW,65/66,136
VfLBochum,CYP,65/66,0
VfLWolfsburg,CZE,65/66,0
WaldhofMannheim,DNK,65/66,0
Wattenscheid09,DJI,65/66,0
WerderBremen,DMA,65/66,183
1.FCKaiserslautern,AFG,66/67,174
1.FCKoeln,ALB,66/67,266
1.FCNuernberg,DZA,66/67,186
1.FCSaarbruecken,ASM,66/67,44
1.FSVMainz05,AND,66/67,0
1860Muenchen,AGO,66/67,276
1899Hoffenheim,ATG,66/67,0
AlemanniaAachen,ARG,66/67,0
ArminiaBielefeld,ARM,66/67,0
Bayer04Leverkusen,ABW,66/67,0
BayerUerdingen,AUS,66/67,0
BayernMuenchen,AUT,66/67,133
Blau-Wei§90Berlin,AZE,66/67,0
BorussiaDortmund,BHS,66/67,280
BorussiaMoenchengladbach,BHR,66/67,127
BorussiaNeunkirchen,BGD,66/67,76
Darmstadt98,BRB,66/67,0
DynamoDresden,BLR,66/67,0
EintrachtBraunschweig,BEL,66/67,176
EintrachtFrankfurt,BLZ,66/67,245
EnergieCottbus,BEN,66/67,0
FCAugsburg,BMU,66/67,0
FCHomburg,BTN,66/67,0
FCIngolstadt04,BOL,66/67,0
FCSt.Pauli,BIH,66/67,0
FortunaDuesseldorf,BWA,66/67,44
FortunaKoeln,BRA,66/67,0
HamburgerSV,VGB,66/67,216
Hannover96,BRN,66/67,147
HansaRostock,BGR,66/67,0
HerthaBSCBerlin,BFA,66/67,85
KarlsruherSC,BDI,66/67,178
KickersOffenbach,CPV,66/67,0
MeidericherSV,KHM,66/67,176
MSVDuisburg,CMR,66/67,40
Preu§enMuenster,CAN,66/67,34
RBLeipzig,CYM,66/67,0
Rot-Wei§Essen,CAF,66/67,35
Rot-Wei§Oberhausen,TCD,66/67,0
SCFreiburg,CHI,66/67,0
SCPaderborn07,CHL,66/67,31
Schalke04,CHN,66/67,166
SpVggGreutherFuerth,COL,66/67,0
SpVggUnterhaching,COM,66/67,0
SSVUlm,COD,66/67,0
StuttgarterKickers,COG,66/67,0
SVDarmstadt98,CRI,66/67,0
TasmaniaBerlin,CIV,66/67,15
TennisBorussiaBerlin,HRV,66/67,0
VfBLeipzig,CUB,66/67,0
VfBStuttgart,CUW,66/67,184
VfLBochum,CYP,66/67,0
VfLWolfsburg,CZE,66/67,0
WaldhofMannheim,DNK,66/67,0
Wattenscheid09,DJI,66/67,0
WerderBremen,DMA,66/67,232
1.FCKaiserslautern,AFG,67/68,213
1.FCKoeln,ALB,67/68,334
1.FCNuernberg,DZA,67/68,257
1.FCSaarbruecken,ASM,67/68,44
1.FSVMainz05,AND,67/68,0
1860Muenchen,AGO,67/68,331
1899Hoffenheim,ATG,67/68,0
AlemanniaAachen,ARG,67/68,52
ArminiaBielefeld,ARM,67/68,0
Bayer04Leverkusen,ABW,67/68,0
BayerUerdingen,AUS,67/68,0
BayernMuenchen,AUT,67/68,201
Blau-Wei§90Berlin,AZE,67/68,0
BorussiaDortmund,BHS,67/68,340
BorussiaMoenchengladbach,BHR,67/68,204
BorussiaNeunkirchen,BGD,67/68,109
Darmstadt98,BRB,67/68,0
DynamoDresden,BLR,67/68,0
EintrachtBraunschweig,BEL,67/68,213
EintrachtFrankfurt,BLZ,67/68,303
EnergieCottbus,BEN,67/68,0
FCAugsburg,BMU,67/68,0
FCHomburg,BTN,67/68,0
FCIngolstadt04,BOL,67/68,0
FCSt.Pauli,BIH,67/68,0
FortunaDuesseldorf,BWA,67/68,44
FortunaKoeln,BRA,67/68,0
HamburgerSV,VGB,67/68,267
Hannover96,BRN,67/68,195
HansaRostock,BGR,67/68,0
HerthaBSCBerlin,BFA,67/68,85
KarlsruherSC,BDI,67/68,210
KickersOffenbach,CPV,67/68,0
MeidericherSV,KHM,67/68,176
MSVDuisburg,CMR,67/68,109
Preu§enMuenster,CAN,67/68,34
RBLeipzig,CYM,67/68,0
Rot-Wei§Essen,CAF,67/68,35
Rot-Wei§Oberhausen,TCD,67/68,0
SCFreiburg,CHI,67/68,0
SCPaderborn07,CHL,67/68,31
Schalke04,CHN,67/68,208
