country_name,country_code,year,value
MSVDuisburg,CMR,75/76,465
Preu§enMuenster,CAN,75/76,34
RBLeipzig,CYM,75/76,0
Rot-Wei§Essen,CAF,75/76,297
Rot-Wei§Oberhausen,TCD,75/76,182
SCFreiburg,CHI,75/76,0
SCPaderborn07,CHL,75/76,31
Schalke04,CHN,75/76,662
SpVggGreutherFuerth,COL,75/76,0
SpVggUnterhaching,COM,75/76,0
SSVUlm,COD,75/76,0
StuttgarterKickers,COG,75/76,0
SVDarmstadt98,CRI,75/76,0
TasmaniaBerlin,CIV,75/76,15
TennisBorussiaBerlin,HRV,75/76,38
VfBLeipzig,CUB,75/76,0
VfBStuttgart,CUW,75/76,648
VfLBochum,CYP,75/76,256
VfLWolfsburg,CZE,75/76,0
WaldhofMannheim,DNK,75/76,0
Wattenscheid09,DJI,75/76,0
WerderBremen,DMA,75/76,688
1.FCKaiserslautern,AFG,76/77,728
1.FCKoeln,ALB,76/77,931
1.FCNuernberg,DZA,76/77,302
1.FCSaarbruecken,ASM,76/77,87
1.FSVMainz05,AND,76/77,0
1860Muenchen,AGO,76/77,416
1899Hoffenheim,ATG,76/77,0
AlemanniaAachen,ARG,76/77,140
ArminiaBielefeld,ARM,76/77,34
Bayer04Leverkusen,ABW,76/77,0
BayerUerdingen,AUS,76/77,28
BayernMuenchen,AUT,76/77,916
Blau-Wei§90Berlin,AZE,76/77,0
BorussiaDortmund,BHS,76/77,610
BorussiaMoenchengladbach,BHR,76/77,880
BorussiaNeunkirchen,BGD,76/77,109
Darmstadt98,BRB,76/77,0
DynamoDresden,BLR,76/77,0
EintrachtBraunschweig,BEL,76/77,587
EintrachtFrankfurt,BLZ,76/77,888
EnergieCottbus,BEN,76/77,0
FCAugsburg,BMU,76/77,0
FCHomburg,BTN,76/77,0
FCIngolstadt04,BOL,76/77,0
FCSt.Pauli,BIH,76/77,0
FortunaDuesseldorf,BWA,76/77,372
FortunaKoeln,BRA,76/77,46
HamburgerSV,VGB,76/77,772
Hannover96,BRN,76/77,545
HansaRostock,BGR,76/77,0
HerthaBSCBerlin,BFA,76/77,574
KarlsruherSC,BDI,76/77,309
KickersOffenbach,CPV,76/77,320
MeidericherSV,KHM,76/77,176
MSVDuisburg,CMR,76/77,525
Preu§enMuenster,CAN,76/77,34
RBLeipzig,CYM,76/77,0
Rot-Wei§Essen,CAF,76/77,346
Rot-Wei§Oberhausen,TCD,76/77,182
SCFreiburg,CHI,76/77,0
SCPaderborn07,CHL,76/77,31
Schalke04,CHN,76/77,739
SpVggGreutherFuerth,COL,76/77,0
SpVggUnterhaching,COM,76/77,0
SSVUlm,COD,76/77,0
StuttgarterKickers,COG,76/77,0
SVDarmstadt98,CRI,76/77,0
TasmaniaBerlin,CIV,76/77,15
TennisBorussiaBerlin,HRV,76/77,85
VfBLeipzig,CUB,76/77,0
VfBStuttgart,CUW,76/77,648
VfLBochum,CYP,76/77,303
VfLWolfsburg,CZE,76/77,0
WaldhofMannheim,DNK,76/77,0
Wattenscheid09,DJI,76/77,0
WerderBremen,DMA,76/77,739
1.FCKaiserslautern,AFG,77/78,792
1.FCKoeln,ALB,77/78,1017
1.FCNuernberg,DZA,77/78,302
1.FCSaarbruecken,ASM,77/78,126
1.FSVMainz05,AND,77/78,0
1860Muenchen,AGO,77/78,457
1899Hoffenheim,ATG,77/78,0
AlemanniaAachen,ARG,77/78,140
ArminiaBielefeld,ARM,77/78,34
Bayer04Leverkusen,ABW,77/78,0
BayerUerdingen,AUS,77/78,28
BayernMuenchen,AUT,77/78,978
Blau-Wei§90Berlin,AZE,77/78,0
BorussiaDortmund,BHS,77/78,667
BorussiaMoenchengladbach,BHR,77/78,966
BorussiaNeunkirchen,BGD,77/78,109
Darmstadt98,BRB,77/78,40
DynamoDresden,BLR,77/78,0
EintrachtBraunschweig,BEL,77/78,630
EintrachtFrankfurt,BLZ,77/78,947
EnergieCottbus,BEN,77/78,0
FCAugsburg,BMU,77/78,0
FCHomburg,BTN,77/78,0
FCIngolstadt04,BOL,77/78,0
FCSt.Pauli,BIH,77/78,44
FortunaDuesseldorf,BWA,77/78,421
FortunaKoeln,BRA,77/78,46
HamburgerSV,VGB,77/78,833
Hannover96,BRN,77/78,545
HansaRostock,BGR,77/78,0
HerthaBSCBerlin,BFA,77/78,633
KarlsruherSC,BDI,77/78,309
KickersOffenbach,CPV,77/78,320
MeidericherSV,KHM,77/78,176
MSVDuisburg,CMR,77/78,587
Preu§enMuenster,CAN,77/78,34
RBLeipzig,CYM,77/78,0
Rot-Wei§Essen,CAF,77/78,346
Rot-Wei§Oberhausen,TCD,77/78,182
SCFreiburg,CHI,77/78,0
SCPaderborn07,CHL,77/78,31
Schalke04,CHN,77/78,786
SpVggGreutherFuerth,COL,77/78,0
SpVggUnterhaching,COM,77/78,0
SSVUlm,COD,77/78,0
StuttgarterKickers,COG,77/78,0
SVDarmstadt98,CRI,77/78,0
TasmaniaBerlin,CIV,77/78,15
TennisBorussiaBerlin,HRV,77/78,85
VfBLeipzig,CUB,77/78,0
VfBStuttgart,CUW,77/78,706
VfLBochum,CYP,77/78,352
VfLWolfsburg,CZE,77/78,0
WaldhofMannheim,DNK,77/78,0
Wattenscheid09,DJI,77/78,0
WerderBremen,DMA,77/78,787
1.FCKaiserslautern,AFG,78/79,867
1.FCKoeln,ALB,78/79,1072
1.FCNuernberg,DZA,78/79,338
1.FCSaarbruecken,ASM,78/79,126
1.FSVMainz05,AND,78/79,0
1860Muenchen,AGO,78/79,499
1899Hoffenheim,ATG,78/79,0
AlemanniaAachen,ARG,78/79,140
ArminiaBielefeld,ARM,78/79,77
Bayer04Leverkusen,ABW,78/79,0
BayerUerdingen,AUS,78/79,28
BayernMuenchen,AUT,78/79,1047
Blau-Wei§90Berlin,AZE,78/79,0
BorussiaDortmund,BHS,78/79,721
BorussiaMoenchengladbach,BHR,78/79,1016
BorussiaNeunkirchen,BGD,78/79,109
Darmstadt98,BRB,78/79,40
DynamoDresden,BLR,78/79,0
EintrachtBraunschweig,BEL,78/79,680
EintrachtFrankfurt,BLZ,78/79,997
EnergieCottbus,BEN,78/79,0
FCAugsburg,BMU,78/79,0
FCHomburg,BTN,78/79,0
FCIngolstadt04,BOL,78/79,0
FCSt.Pauli,BIH,78/79,44
FortunaDuesseldorf,BWA,78/79,491
FortunaKoeln,BRA,78/79,46
HamburgerSV,VGB,78/79,911
Hannover96,BRN,78/79,545
HansaRostock,BGR,78/79,0
HerthaBSCBerlin,BFA,78/79,673
KarlsruherSC,BDI,78/79,309
KickersOffenbach,CPV,78/79,320
MeidericherSV,KHM,78/79,176
MSVDuisburg,CMR,78/79,630
Preu§enMuenster,CAN,78/79,34
RBLeipzig,CYM,78/79,0
Rot-Wei§Essen,CAF,78/79,346
Rot-Wei§Oberhausen,TCD,78/79,182
SCFreiburg,CHI,78/79,0
SCPaderborn07,CHL,78/79,31
Schalke04,CHN,78/79,841
SpVggGreutherFuerth,COL,78/79,0
SpVggUnterhaching,COM,78/79,0
SSVUlm,COD,78/79,0
StuttgarterKickers,COG,78/79,0
SVDarmstadt98,CRI,78/79,0
TasmaniaBerlin,CIV,78/79,15
TennisBorussiaBerlin,HRV,78/79,85
VfBLeipzig,CUB,78/79,0
VfBStuttgart,CUW,78/79,779
VfLBochum,CYP,78/79,399
VfLWolfsburg,CZE,78/79,0
WaldhofMannheim,DNK,78/79,0
Wattenscheid09,DJI,78/79,0
WerderBremen,DMA,78/79,839
1.FCKaiserslautern,AFG,79/80,929
1.FCKoeln,ALB,79/80,1144
1.FCNuernberg,DZA,79/80,338
1.FCSaarbruecken,ASM,79/80,126
1.FSVMainz05,AND,79/80,0
1860Muenchen,AGO,79/80,548
1899Hoffenheim,ATG,79/80,0
AlemanniaAachen,ARG,79/80,140
ArminiaBielefeld,ARM,79/80,77
Bayer04Leverkusen,ABW,79/80,45
BayerUerdingen,AUS,79/80,71
BayernMuenchen,AUT,79/80,1131
Blau-Wei§90Berlin,AZE,79/80,0
BorussiaDortmund,BHS,79/80,785
BorussiaMoenchengladbach,BHR,79/80,1077
BorussiaNeunkirchen,BGD,79/80,109
Darmstadt98,BRB,79/80,40
DynamoDresden,BLR,79/80,0
EintrachtBraunschweig,BEL,79/80,712
EintrachtFrankfurt,BLZ,79/80,1062
EnergieCottbus,BEN,79/80,0
FCAugsburg,BMU,79/80,0
FCHomburg,BTN,79/80,0
FCIngolstadt04,BOL,79/80,0
FCSt.Pauli,BIH,79/80,44
FortunaDuesseldorf,BWA,79/80,553
FortunaKoeln,BRA,79/80,46
HamburgerSV,VGB,79/80,997
Hannover96,BRN,79/80,545
HansaRostock,BGR,79/80,0
HerthaBSCBerlin,BFA,79/80,714
KarlsruherSC,BDI,79/80,309
KickersOffenbach,CPV,79/80,320
MeidericherSV,KHM,79/80,176
MSVDuisburg,CMR,79/80,673
Preu§enMuenster,CAN,79/80,34
RBLeipzig,CYM,79/80,0
Rot-Wei§Essen,CAF,79/80,346
Rot-Wei§Oberhausen,TCD,79/80,182
SCFreiburg,CHI,79/80,0
SCPaderborn07,CHL,79/80,31
Schalke04,CHN,79/80,881
SpVggGreutherFuerth,COL,79/80,0
SpVggUnterhaching,COM,79/80,0
SSVUlm,COD,79/80,0
StuttgarterKickers,COG,79/80,0
SVDarmstadt98,CRI,79/80,0
TasmaniaBerlin,CIV,79/80,15
TennisBorussiaBerlin,HRV,79/80,85
VfBLeipzig,CUB,79/80,0
VfBStuttgart,CUW,79/80,854
VfLBochum,CYP,79/80,440
VfLWolfsburg,CZE,79/80,0
WaldhofMannheim,DNK,79/80,0
Wattenscheid09,DJI,79/80,0
WerderBremen,DMA,79/80,887
1.FCKaiserslautern,AFG,80/81,989
1.FCKoeln,ALB,80/81,1198
1.FCNuernberg,DZA,80/81,385
1.FCSaarbruecken,ASM,80/81,126
1.FSVMainz05,AND,80/81,0
1860Muenchen,AGO,80/81,548
1899Hoffenheim,ATG,80/81,0
AlemanniaAachen,ARG,80/81,140
ArminiaBielefeld,ARM,80/81,123
Bayer04Leverkusen,ABW,80/81,97
BayerUerdingen,AUS,80/81,118
BayernMuenchen,AUT,80/81,1220
Blau-Wei§90Berlin,AZE,80/81,0
BorussiaDortmund,BHS,80/81,854
BorussiaMoenchengladbach,BHR,80/81,1145
BorussiaNeunkirchen,BGD,80/81,109
Darmstadt98,BRB,80/81,40
DynamoDresden,BLR,80/81,0
EintrachtBraunschweig,BEL,80/81,712
EintrachtFrankfurt,BLZ,80/81,1123
EnergieCottbus,BEN,80/81,0
FCAugsburg,BMU,80/81,0
FCHomburg,BTN,80/81,0
FCIngolstadt04,BOL,80/81,0
FCSt.Pauli,BIH,80/81,44
FortunaDuesseldorf,BWA,80/81,610
FortunaKoeln,BRA,80/81,46
HamburgerSV,VGB,80/81,1070
Hannover96,BRN,80/81,545
HansaRostock,BGR,80/81,0
HerthaBSCBerlin,BFA,80/81,714
KarlsruherSC,BDI,80/81,365
KickersOffenbach,CPV,80/81,320
MeidericherSV,KHM,80/81,176
MSVDuisburg,CMR,80/81,718
Preu§enMuenster,CAN,80/81,34
RBLeipzig,CYM,80/81,0
Rot-Wei§Essen,CAF,80/81,346
Rot-Wei§Oberhausen,TCD,80/81,182
SCFreiburg,CHI,80/81,0
SCPaderborn07,CHL,80/81,31
Schalke04,CHN,80/81,924
SpVggGreutherFuerth,COL,80/81,0
SpVggUnterhaching,COM,80/81,0
SSVUlm,COD,80/81,0
StuttgarterKickers,COG,80/81,0
SVDarmstadt98,CRI,80/81,0
TasmaniaBerlin,CIV,80/81,15
TennisBorussiaBerlin,HRV,80/81,85
VfBLeipzig,CUB,80/81,0
VfBStuttgart,CUW,80/81,924
VfLBochum,CYP,80/81,493
VfLWolfsburg,CZE,80/81,0
WaldhofMannheim,DNK,80/81,0
Wattenscheid09,DJI,80/81,0
WerderBremen,DMA,80/81,887
1.FCKaiserslautern,AFG,81/82,1059
1.FCKoeln,ALB,81/82,1270
1.FCNuernberg,DZA,81/82,438
1.FCSaarbruecken,ASM,81/82,126
1.FSVMainz05,AND,81/82,0
1860Muenchen,AGO,81/82,548
1899Hoffenheim,ATG,81/82,0
AlemanniaAachen,ARG,81/82,140
ArminiaBielefeld,ARM,81/82,169
Bayer04Leverkusen,ABW,81/82,142
BayerUerdingen,AUS,81/82,118
BayernMuenchen,AUT,81/82,1297
Blau-Wei§90Berlin,AZE,81/82,0
BorussiaDortmund,BHS,81/82,913
BorussiaMoenchengladbach,BHR,81/82,1206
BorussiaNeunkirchen,BGD,81/82,109
Darmstadt98,BRB,81/82,86
DynamoDresden,BLR,81/82,0
EintrachtBraunschweig,BEL,81/82,773
EintrachtFrankfurt,BLZ,81/82,1206
EnergieCottbus,BEN,81/82,0
FCAugsburg,BMU,81/82,0
FCHomburg,BTN,81/82,0
FCIngolstadt04,BOL,81/82,0
FCSt.Pauli,BIH,81/82,44
FortunaDuesseldorf,BWA,81/82,658
FortunaKoeln,BRA,81/82,46
HamburgerSV,VGB,81/82,1165
Hannover96,BRN,81/82,545
HansaRostock,BGR,81/82,0
HerthaBSCBerlin,BFA,81/82,714
KarlsruherSC,BDI,81/82,415
KickersOffenbach,CPV,81/82,320
MeidericherSV,KHM,81/82,176
MSVDuisburg,CMR,81/82,758
Preu§enMuenster,CAN,81/82,34
RBLeipzig,CYM,81/82,0
Rot-Wei§Essen,CAF,81/82,346
Rot-Wei§Oberhausen,TCD,81/82,182
SCFreiburg,CHI,81/82,0
SCPaderborn07,CHL,81/82,31
Schalke04,CHN,81/82,924
SpVggGreutherFuerth,COL,81/82,0
SpVggUnterhaching,COM,81/82,0
SSVUlm,COD,81/82,0
StuttgarterKickers,COG,81/82,0
SVDarmstadt98,CRI,81/82,0
TasmaniaBerlin,CIV,81/82,15
TennisBorussiaBerlin,HRV,81/82,85
VfBLeipzig,CUB,81/82,0
VfBStuttgart,CUW,81/82,986
VfLBochum,CYP,81/82,545
VfLWolfsburg,CZE,81/82,0
WaldhofMannheim,DNK,81/82,0
Wattenscheid09,DJI,81/82,0
WerderBremen,DMA,81/82,948
1.FCKaiserslautern,AFG,82/83,1116
1.FCKoeln,ALB,82/83,1339
1.FCNuernberg,DZA,82/83,482
1.FCSaarbruecken,ASM,82/83,126
1.FSVMainz05,AND,82/83,0
1860Muenchen,AGO,82/83,548
1899Hoffenheim,ATG,82/83,0
AlemanniaAachen,ARG,82/83,140
ArminiaBielefeld,ARM,82/83,215
Bayer04Leverkusen,ABW,82/83,185
BayerUerdingen,AUS,82/83,118
BayernMuenchen,AUT,82/83,1371
Blau-Wei§90Berlin,AZE,82/83,0
BorussiaDortmund,BHS,82/83,991
BorussiaMoenchengladbach,BHR,82/83,1270
BorussiaNeunkirchen,BGD,82/83,109
Darmstadt98,BRB,82/83,86
DynamoDresden,BLR,82/83,0
EintrachtBraunschweig,BEL,82/83,815
EintrachtFrankfurt,BLZ,82/83,1254
EnergieCottbus,BEN,82/83,0
FCAugsburg,BMU,82/83,0
FCHomburg,BTN,82/83,0
FCIngolstadt04,BOL,82/83,0
FCSt.Pauli,BIH,82/83,44
FortunaDuesseldorf,BWA,82/83,721
FortunaKoeln,BRA,82/83,46
HamburgerSV,VGB,82/83,1244
Hannover96,BRN,82/83,545
HansaRostock,BGR,82/83,0
HerthaBSCBerlin,BFA,82/83,757
KarlsruherSC,BDI,82/83,454
KickersOffenbach,CPV,82/83,320
MeidericherSV,KHM,82/83,176
MSVDuisburg,CMR,82/83,758
Preu§enMuenster,CAN,82/83,34
RBLeipzig,CYM,82/83,0
Rot-Wei§Essen,CAF,82/83,346
Rot-Wei§Oberhausen,TCD,82/83,182
SCFreiburg,CHI,82/83,0
SCPaderborn07,CHL,82/83,31
Schalke04,CHN,82/83,972
SpVggGreutherFuerth,COL,82/83,0
SpVggUnterhaching,COM,82/83,0
SSVUlm,COD,82/83,0
StuttgarterKickers,COG,82/83,0
SVDarmstadt98,CRI,82/83,0
TasmaniaBerlin,CIV,82/83,15
TennisBorussiaBerlin,HRV,82/83,85
VfBLeipzig,CUB,82/83,0
VfBStuttgart,CUW,82/83,1066
VfLBochum,CYP,82/83,588
VfLWolfsburg,CZE,82/83,0
WaldhofMannheim,DNK,82/83,0
Wattenscheid09,DJI,82/83,0
WerderBremen,DMA,82/83,1024
1.FCKaiserslautern,AFG,83/84,1184
1.FCKoeln,ALB,83/84,1409
1.FCNuernberg,DZA,83/84,520
1.FCSaarbruecken,ASM,83/84,126
1.FSVMainz05,AND,83/84,0
1860Muenchen,AGO,83/84,548
1899Hoffenheim,ATG,83/84,0
AlemanniaAachen,ARG,83/84,140
ArminiaBielefeld,ARM,83/84,255
Bayer04Leverkusen,ABW,83/84,235
BayerUerdingen,AUS,83/84,184
BayernMuenchen,AUT,83/84,1455
Blau-Wei§90Berlin,AZE,83/84,0
BorussiaDortmund,BHS,83/84,1045
BorussiaMoenchengladbach,BHR,83/84,1351
BorussiaNeunkirchen,BGD,83/84,109
Darmstadt98,BRB,83/84,86
DynamoDresden,BLR,83/84,0
EintrachtBraunschweig,BEL,83/84,869
EintrachtFrankfurt,BLZ,83/84,1299
EnergieCottbus,BEN,83/84,0
FCAugsburg,BMU,83/84,0
FCHomburg,BTN,83/84,0
FCIngolstadt04,BOL,83/84,0
FCSt.Pauli,BIH,83/84,44
FortunaDuesseldorf,BWA,83/84,784
FortunaKoeln,BRA,83/84,46
HamburgerSV,VGB,83/84,1319
Hannover96,BRN,83/84,545
HansaRostock,BGR,83/84,0
HerthaBSCBerlin,BFA,83/84,757
KarlsruherSC,BDI,83/84,454
KickersOffenbach,CPV,83/84,368
MeidericherSV,KHM,83/84,176
MSVDuisburg,CMR,83/84,758
Preu§enMuenster,CAN,83/84,34
RBLeipzig,CYM,83/84,0
Rot-Wei§Essen,CAF,83/84,346
Rot-Wei§Oberhausen,TCD,83/84,182
SCFreiburg,CHI,83/84,0
SCPaderborn07,CHL,83/84,31
Schalke04,CHN,83/84,972
SpVggGreutherFuerth,COL,83/84,0
SpVggUnterhaching,COM,83/84,0
SSVUlm,COD,83/84,0
StuttgarterKickers,COG,83/84,0
SVDarmstadt98,CRI,83/84,0
TasmaniaBerlin,CIV,83/84,15
TennisBorussiaBerlin,HRV,83/84,85
VfBLeipzig,CUB,83/84,0
VfBStuttgart,CUW,83/84,1145
VfLBochum,CYP,83/84,646
VfLWolfsburg,CZE,83/84,0
WaldhofMannheim,DNK,83/84,45
Wattenscheid09,DJI,83/84,0
WerderBremen,DMA,83/84,1103
1.FCKaiserslautern,AFG,84/85,1240
1.FCKoeln,ALB,84/85,1478
1.FCNuernberg,DZA,84/85,520
1.FCSaarbruecken,ASM,84/85,126
1.FSVMainz05,AND,84/85,0
1860Muenchen,AGO,84/85,548
1899Hoffenheim,ATG,84/85,0
AlemanniaAachen,ARG,84/85,140
ArminiaBielefeld,ARM,84/85,301
Bayer04Leverkusen,ABW,84/85,287
BayerUerdingen,AUS,84/85,241
BayernMuenchen,AUT,84/85,1534
Blau-Wei§90Berlin,AZE,84/85,0
BorussiaDortmund,BHS,84/85,1096
BorussiaMoenchengladbach,BHR,84/85,1428
BorussiaNeunkirchen,BGD,84/85,109
Darmstadt98,BRB,84/85,86
DynamoDresden,BLR,84/85,0
EintrachtBraunschweig,BEL,84/85,908
EintrachtFrankfurt,BLZ,84/85,1361
EnergieCottbus,BEN,84/85,0
FCAugsburg,BMU,84/85,0
FCHomburg,BTN,84/85,0
FCIngolstadt04,BOL,84/85,0
FCSt.Pauli,BIH,84/85,44
FortunaDuesseldorf,BWA,84/85,837
FortunaKoeln,BRA,84/85,46
HamburgerSV,VGB,84/85,1377
Hannover96,BRN,84/85,545
HansaRostock,BGR,84/85,0
HerthaBSCBerlin,BFA,84/85,757
KarlsruherSC,BDI,84/85,501
KickersOffenbach,CPV,84/85,368
MeidericherSV,KHM,84/85,176
MSVDuisburg,CMR,84/85,758
Preu§enMuenster,CAN,84/85,34
RBLeipzig,CYM,84/85,0
Rot-Wei§Essen,CAF,84/85,346
Rot-Wei§Oberhausen,TCD,84/85,182
SCFreiburg,CHI,84/85,0
SCPaderborn07,CHL,84/85,31
Schalke04,CHN,84/85,1035
SpVggGreutherFuerth,COL,84/85,0
SpVggUnterhaching,COM,84/85,0
SSVUlm,COD,84/85,0
StuttgarterKickers,COG,84/85,0
SVDarmstadt98,CRI,84/85,0
TasmaniaBerlin,CIV,84/85,15
TennisBorussiaBerlin,HRV,84/85,85
VfBLeipzig,CUB,84/85,0
VfBStuttgart,CUW,84/85,1224
VfLBochum,CYP,84/85,698
VfLWolfsburg,CZE,84/85,0
WaldhofMannheim,DNK,84/85,92
Wattenscheid09,DJI,84/85,0
WerderBremen,DMA,84/85,1190
1.FCKaiserslautern,AFG,85/86,1289
1.FCKoeln,ALB,85/86,1524
1.FCNuernberg,DZA,85/86,571
1.FCSaarbruecken,ASM,85/86,165
1.FSVMainz05,AND,85/86,0
1860Muenchen,AGO,85/86,548
1899Hoffenheim,ATG,85/86,0
AlemanniaAachen,ARG,85/86,140
ArminiaBielefeld,ARM,85/86,301
Bayer04Leverkusen,ABW,85/86,350
BayerUerdingen,AUS,85/86,304
BayernMuenchen,AUT,85/86,1616
Blau-Wei§90Berlin,AZE,85/86,0
BorussiaDortmund,BHS,85/86,1145
BorussiaMoenchengladbach,BHR,85/86,1493
BorussiaNeunkirchen,BGD,85/86,109
Darmstadt98,BRB,85/86,86
DynamoDresden,BLR,85/86,0
EintrachtBraunschweig,BEL,85/86,908
EintrachtFrankfurt,BLZ,85/86,1396
EnergieCottbus,BEN,85/86,0
FCAugsburg,BMU,85/86,0
FCHomburg,BTN,85/86,0
FCIngolstadt04,BOL,85/86,0
FCSt.Pauli,BIH,85/86,44
FortunaDuesseldorf,BWA,85/86,891
FortunaKoeln,BRA,85/86,46
HamburgerSV,VGB,85/86,1429
Hannover96,BRN,85/86,588
HansaRostock,BGR,85/86,0
HerthaBSCBerlin,BFA,85/86,757
KarlsruherSC,BDI,85/86,501
KickersOffenbach,CPV,85/86,368
MeidericherSV,KHM,85/86,176
MSVDuisburg,CMR,85/86,758
Preu§enMuenster,CAN,85/86,34
RBLeipzig,CYM,85/86,0
Rot-Wei§Essen,CAF,85/86,346
Rot-Wei§Oberhausen,TCD,85/86,182
SCFreiburg,CHI,85/86,0
SCPaderborn07,CHL,85/86,31
Schalke04,CHN,85/86,1088
SpVggGreutherFuerth,COL,85/86,0
SpVggUnterhaching,COM,85/86,0
SSVUlm,COD,85/86,0
StuttgarterKickers,COG,85/86,0
SVDarmstadt98,CRI,85/86,0
TasmaniaBerlin,CIV,85/86,15
TennisBorussiaBerlin,HRV,85/86,85
VfBLeipzig,CUB,85/86,0
VfBStuttgart,CUW,85/86,1293
VfLBochum,CYP,85/86,753
VfLWolfsburg,CZE,85/86,0
WaldhofMannheim,DNK,85/86,133
Wattenscheid09,DJI,85/86,0
WerderBremen,DMA,85/86,1273
1.FCKaiserslautern,AFG,86/87,1353
1.FCKoeln,ALB,86/87,1574
1.FCNuernberg,DZA,86/87,633
1.FCSaarbruecken,ASM,86/87,202
1.FSVMainz05,AND,86/87,0
1860Muenchen,AGO,86/87,548
1899Hoffenheim,ATG,86/87,0
AlemanniaAachen,ARG,86/87,140
ArminiaBielefeld,ARM,86/87,301
Bayer04Leverkusen,ABW,86/87,406
BayerUerdingen,AUS,86/87,355
BayernMuenchen,AUT,86/87,1683
Blau-Wei§90Berlin,AZE,86/87,36
BorussiaDortmund,BHS,86/87,1215
BorussiaMoenchengladbach,BHR,86/87,1567
BorussiaNeunkirchen,BGD,86/87,109
Darmstadt98,BRB,86/87,86
DynamoDresden,BLR,86/87,0
EintrachtBraunschweig,BEL,86/87,908
EintrachtFrankfurt,BLZ,86/87,1438
EnergieCottbus,BEN,86/87,0
FCAugsburg,BMU,86/87,0
FCHomburg,BTN,86/87,33
FCIngolstadt04,BOL,86/87,0
FCSt.Pauli,BIH,86/87,44
FortunaDuesseldorf,BWA,86/87,933
FortunaKoeln,BRA,86/87,46
HamburgerSV,VGB,86/87,1498
Hannover96,BRN,86/87,588
HansaRostock,BGR,86/87,0
HerthaBSCBerlin,BFA,86/87,757
KarlsruherSC,BDI,86/87,501
KickersOffenbach,CPV,86/87,368
MeidericherSV,KHM,86/87,176
MSVDuisburg,CMR,86/87,758
Preu§enMuenster,CAN,86/87,34
RBLeipzig,CYM,86/87,0
Rot-Wei§Essen,CAF,86/87,346
Rot-Wei§Oberhausen,TCD,86/87,182
SCFreiburg,CHI,86/87,0
SCPaderborn07,CHL,86/87,31
Schalke04,CHN,86/87,1138
SpVggGreutherFuerth,COL,86/87,0
SpVggUnterhaching,COM,86/87,0
SSVUlm,COD,86/87,0
StuttgarterKickers,COG,86/87,0
SVDarmstadt98,CRI,86/87,0
TasmaniaBerlin,CIV,86/87,15
TennisBorussiaBerlin,HRV,86/87,85
VfBLeipzig,CUB,86/87,0
VfBStuttgart,CUW,86/87,1348
VfLBochum,CYP,86/87,805
VfLWolfsburg,CZE,86/87,0
WaldhofMannheim,DNK,86/87,185
Wattenscheid09,DJI,86/87,0
WerderBremen,DMA,86/87,1338
1.FCKaiserslautern,AFG,87/88,1406
1.FCKoeln,ALB,87/88,1631
1.FCNuernberg,DZA,87/88,677
1.FCSaarbruecken,ASM,87/88,202
1.FSVMainz05,AND,87/88,0
1860Muenchen,AGO,87/88,548
1899Hoffenheim,ATG,87/88,0
AlemanniaAachen,ARG,87/88,140
ArminiaBielefeld,ARM,87/88,301
Bayer04Leverkusen,ABW,87/88,459
BayerUerdingen,AUS,87/88,414
BayernMuenchen,AUT,87/88,1766
Blau-Wei§90Berlin,AZE,87/88,36
BorussiaDortmund,BHS,87/88,1266
BorussiaMoenchengladbach,BHR,87/88,1622
BorussiaNeunkirchen,BGD,87/88,109
Darmstadt98,BRB,87/88,86
DynamoDresden,BLR,87/88,0
EintrachtBraunschweig,BEL,87/88,908
EintrachtFrankfurt,BLZ,87/88,1489
EnergieCottbus,BEN,87/88,0
FCAugsburg,BMU,87/88,0
FCHomburg,BTN,87/88,70
FCIngolstadt04,BOL,87/88,0
FCSt.Pauli,BIH,87/88,44
FortunaDuesseldorf,BWA,87/88,933
FortunaKoeln,BRA,87/88,46
HamburgerSV,VGB,87/88,1561
Hannover96,BRN,87/88,647
HansaRostock,BGR,87/88,0
HerthaBSCBerlin,BFA,87/88,757
KarlsruherSC,BDI,87/88,538
KickersOffenbach,CPV,87/88,368
MeidericherSV,KHM,87/88,176
MSVDuisburg,CMR,87/88,758
Preu§enMuenster,CAN,87/88,34
RBLeipzig,CYM,87/88,0
Rot-Wei§Essen,CAF,87/88,346
Rot-Wei§Oberhausen,TCD,87/88,182
SCFreiburg,CHI,87/88,0
SCPaderborn07,CHL,87/88,31
Schalke04,CHN,87/88,1186
SpVggGreutherFuerth,COL,87/88,0
SpVggUnterhaching,COM,87/88,0
SSVUlm,COD,87/88,0
StuttgarterKickers,COG,87/88,0
SVDarmstadt98,CRI,87/88,0
TasmaniaBerlin,CIV,87/88,15
TennisBorussiaBerlin,HRV,87/88,85
VfBLeipzig,CUB,87/88,0
VfBStuttgart,CUW,87/88,1417
VfLBochum,CYP,87/88,852
VfLWolfsburg,CZE,87/88,0
WaldhofMannheim,DNK,87/88,220
Wattenscheid09,DJI,87/88,0
WerderBremen,DMA,87/88,1399
1.FCKaiserslautern,AFG,88/89,1453
1.FCKoeln,ALB,88/89,1689
1.FCNuernberg,DZA,88/89,713
1.FCSaarbruecken,ASM,88/89,202
1.FSVMainz05,AND,88/89,0
1860Muenchen,AGO,88/89,548
1899Hoffenheim,ATG,88/89,0
AlemanniaAachen,ARG,88/89,140
ArminiaBielefeld,ARM,88/89,301
Bayer04Leverkusen,ABW,88/89,504
